artist,artist_mbid,album,album_mbid,track,track_mbid,timestamp,datetime,track_id,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,key,loudness,mode
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Well Paid Scientist,04115afc-96dc-4823-90aa-2c9c90bef4e0,1697655812,2023-10-18 21:03:32,2kTFSkDlGLE48WTHJ9BJ3o,0.239,0.938,0.151,0.000511,7.07e-06,0.123,0.351,53.065,142013,4,2,-5.119,1
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Trust Your Mechanic,873b0b7a-d8ba-456c-a994-ad98b4358aab,1697655635,2023-10-18 21:00:35,2hvR3XzdUoSnoREtyTVnQx,0.276,0.893,0.435,0.000879,0.0,0.212,0.332,180.075,175589,4,10,-6.355,1
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Terminal Preppie,3c44fccb-8f9c-33f5-96c3-131e411e2aa3,1697655545,2023-10-18 20:59:05,4J4EEk6I0JSfg2b3y1gYwc,0.359,0.988,0.216,0.00527,0.0,0.109,0.543,114.62,90302,4,5,-5.431,0
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Government Flu,0316205b-5509-3941-9c97-6b6dba787044,1697655421,2023-10-18 20:57:01,1PuMbKR2PHJ5jWW5aj1KzX,0.299,0.996,0.166,5.35e-05,0.0,0.402,0.155,140.714,124041,4,2,-4.905,1
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Advice From Christmas Past,25788613-0bb5-3583-9ab7-88557734689d,1697655366,2023-10-18 20:56:06,3DsZdGFd1FK0ESdya8qcxK,0.19,0.993,0.181,0.201,0.0,0.547,0.102,146.334,55287,5,2,-9.731,1
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Rawhide,00597f24-6e82-4287-b771-3a474808d452,1697655232,2023-10-18 20:53:52,62f7OynIECvIyrue1E5b8C,0.38,0.913,0.158,0.000221,2.63e-06,0.147,0.361,147.265,133283,4,11,-5.467,0
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,We've Got a Bigger Problem Now,3bf643ab-ebaa-4a98-bd86-a7f39b23addf,1697654963,2023-10-18 20:49:23,5p6Upe0lGmjOZtsYwiYKDt,0.38,0.516,0.0598,0.00307,0.0,0.0961,0.441,100.976,269746,4,1,-6.568,0
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Nazi Punks Fuck Off,7dc7ac5f-de88-350f-b2ee-1078d3557bcd,1697654899,2023-10-18 20:48:19,2LF13LC1wG5XqZ2js2yC9O,0.397,0.923,0.201,0.00132,0.0,0.261,0.676,112.666,63390,3,10,-4.029,0
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Dog Bite,022d91a1-eae1-4dfc-8b96-d93b4b524caf,1697654825,2023-10-18 20:47:05,3YK4bB2sJ4kEXuz7tgilu8,0.275,0.962,0.0956,0.000409,1.24e-05,0.327,0.604,172.494,73956,4,9,-3.329,0
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Kepone Factory,5574512e-149c-4084-b61e-9c2c6c24f5a8,1697654746,2023-10-18 20:45:46,7536uhNfDaaBShMn5SFjrS,0.442,0.975,0.128,0.000888,0.0,0.0627,0.399,89.783,78925,4,7,-3.924,1
